yeartime,monthtime,customerid,amount,maxbalance,minbalance
2016,10,95,30918.9052716,43033.8549604,21887.1882937
2016,11,95,26578.6816672,25709.5592671,0.0
2016,12,95,45324.2856929,60092.348168,14768.0624751
2017,1,95,23858.2326297,44288.9192594,23142.2525927
2017,2,95,0.0,29473.7102481,22041.5508133
2014,1,96,37064.3299261,60502.8207527,23856.6228267
2014,2,96,36052.6443685,65443.1009706,29390.4566022
2014,3,96,41783.6261921,68507.6724107,33056.6942911
2014,4,96,40447.6990493,72143.0303313,37429.8810815
2014,5,96,32622.6666667,65767.4316307,33144.7649641
2014,6,96,40445.1397226,58561.3328886,25938.6662219
2014,7,96,50952.3871664,69770.3283377,22669.870459
2014,8,96,35866.8706424,35238.4525769,2615.78591028
2014,9,96,45784.6354384,63709.6428329,31086.9761662
2014,10,96,51954.0102122,53527.9623695,11959.3828787
2014,11,96,47901.1157542,50111.293226,9016.85503079
2014,12,96,50838.9405323,49111.4750309,7428.99924967
2015,1,96,37274.0101423,61533.6260538,28910.9593872
2015,2,96,41179.3438708,64943.2917005,23763.9478297
2015,3,96,42134.9374297,69251.542366,34573.8080905
2015,4,96,46152.9799873,95857.8723606,49704.8923733
2015,5,96,47704.2993974,82239.1964664,34534.897069
2015,6,96,45858.8012357,77811.7099104,45189.0432438
2015,7,96,80107.2798225,102341.403711,25117.4430215
2015,8,96,51594.6659749,96200.8708255,62250.2056576
2015,9,96,41361.4601239,109448.370949,74017.9108255
2015,10,96,37542.4125776,100638.798561,68016.1318941
2015,11,96,32622.6666667,50654.5113858,18031.8447192
2015,12,96,33065.9712867,65005.4210795,32382.7544129
2016,1,96,45408.7895837,52252.4086353,19629.7419686
2016,2,96,39203.5936862,65775.6635964,26572.0699103
2016,3,96,49956.277281,58867.2051115,24228.0278056
2016,4,96,37537.4847003,67667.753405,30130.2687048
2016,5,96,42365.1026181,60173.6434302,27550.9767635
2016,6,96,40306.1896687,36653.8390014,2017.56658446
2016,7,96,52445.0874544,68127.2277047,22716.0300023
2016,8,96,47239.18589,81520.2625093,45835.5538425
2016,9,96,54358.4825379,71471.0238135,34686.5950328
2016,10,96,32622.6666667,65114.1482814,32491.4816148
2016,11,96,47169.3156338,61818.3061974,14648.9905636
2016,12,96,55337.0218214,98064.3072752,42727.2854538
2017,1,96,49786.0998616,67737.5226179,31821.8462731
2017,2,96,0.0,48428.2755299,42497.2755299
2014,1,97,30872.4551416,48635.4551416,17763.0
2014,2,97,23447.5428778,52917.1755086,31110.3651999
2014,3,97,33594.1917991,68265.9651928,39953.9447126
2014,4,97,49549.8715605,78764.8960767,37904.1060219
2014,5,97,29098.2295931,75947.42273,29090.7514645
2014,6,97,34599.1060973,52675.7382983,18076.632201
2014,7,97,21710.0,43849.3015886,21948.7876863
2014,8,97,27137.654687,44732.6423597,17594.9876727
2014,9,97,62471.0278928,73001.9531952,36354.613568
2014,10,97,54775.7702216,64627.4909856,34273.4593625
2014,11,97,21710.0,48304.9914974,26594.9914974
2014,12,97,34196.0885592,50626.150407,25509.1701727
2015,1,97,25988.4268726,36446.6333185,11233.8187258
2015,2,97,25381.0573848,47920.9135884,26210.9135884
2015,3,97,63511.9931467,70818.2131094,11253.2199627
2015,4,97,50896.0955348,89249.1487268,51798.5394246
2015,5,97,50597.4076939,87128.2139509,43503.4108772
2015,6,97,21710.0,55746.1957161,34036.1957161
2015,7,97,21710.0,43473.8981361,21763.8981361
2015,8,97,42070.6898201,63201.5954906,30206.080394
2015,9,97,22447.2344447,37575.7644623,15865.7644623
2015,10,97,25395.1197581,30060.6115698,1380.48451311
2015,11,97,38221.2401802,43489.5319671,12661.3613298
2015,12,97,40712.255135,68336.8643954,31647.405196
2016,1,97,32012.1093395,70861.8562644,46099.1412838
2016,2,97,43074.6417672,47138.7737051,15930.9507559
2016,3,97,37531.2146743,40859.768861,6718.49128263
2016,4,97,36810.253111,59946.869504,24867.8146096
2016,5,97,33526.6032363,63663.5822565,35798.7797366
2016,6,97,27069.8373303,52698.7392122,25628.901882
2016,7,97,43909.6875797,60212.1379452,19407.415855
2016,8,97,47870.3148859,72605.9766267,46445.6617409
2016,9,97,40855.0698375,77152.0967463,26063.6083604
2016,10,97,36244.073645,65257.514031,39655.5478329
2016,11,97,27088.5772114,47044.6650207,25334.6650207
2016,12,97,53671.5502718,68449.7773207,24348.5970207
2017,1,97,28030.1477987,73822.1692819,52112.1692819
2017,2,97,0.0,63848.7910675,59901.7910675
2014,1,98,37266.8365904,47403.3560194,15535.6893528
2014,2,98,35247.9932856,58875.9421811,23627.9488955
2014,3,98,61585.301362,65978.0909265,10260.5475162
2014,4,98,46832.1007365,68074.2256138,27119.6601804
2014,5,98,42595.1189645,57435.6239707,23210.6845667
2014,6,98,43019.7017293,57884.0671666,14864.3654373
2014,7,98,34524.1696237,55742.5608571,21218.3912334
2014,8,98,39473.8864513,42954.4993653,6145.86383017
2014,9,98,36856.494456,45227.0805152,8370.58605925
2014,10,98,59116.4141236,56454.3766114,15506.8209617
2014,11,98,37145.0868288,71392.523457,34247.4366283
2014,12,98,32086.2957013,44871.5402065,13003.8735399
2015,1,98,39053.380881,48366.3423504,16498.6756838
2015,2,98,38743.2000731,71597.8781296,38647.6780565
2015,3,98,36409.0383181,55773.1316134,23905.4649468
2015,4,98,59483.8952371,77855.9089512,18372.0137141
2015,5,98,45394.5329004,71173.762593,31590.3237644
2015,6,98,31867.6666667,59396.7170235,27529.0503568
2015,7,98,51096.1709763,85385.6092302,37866.6855671
2015,8,98,59136.6708843,72207.7329496,35461.4690509
2015,9,98,51954.2378089,67981.9429717,23281.1768863
2015,10,98,50542.958226,80937.0761199,43977.1719918
2015,11,98,33871.2049688,62140.4434387,28269.2384699
2015,12,98,31867.6666667,67276.2859288,35408.6192621
2016,1,98,52134.7907281,57376.6119696,25508.945303
2016,2,98,61443.0357953,88008.1555849,42265.2648928
2016,3,98,34835.1751324,75837.2683298,32651.7664392
2016,4,98,49896.1045678,90776.0496257,46059.9613099
2016,5,98,47323.9803482,80619.5570679,37591.1234544
2016,6,98,43227.484833,70865.9831558,32679.6521409
2016,7,98,38019.6300389,74476.379044,36456.7490052
2016,8,98,59630.5060489,69879.4462774,16041.9402284
2016,9,98,41704.1035144,76127.2776885,44259.6110218
2016,10,98,43821.7817477,92732.3975307,48910.615783
2016,11,98,54026.966293,59945.9503576,27390.7021414
2016,12,98,63018.7643757,80648.0759115,42160.1772387
2017,1,98,52149.7334828,53011.449663,21143.7829963
2017,2,98,0.0,31922.4302606,16838.6210436
2014,1,99,16250.8943523,22473.4455033,6222.55115093
2014,2,99,19070.9382585,27442.2847057,8371.34644723
2014,3,99,14802.3333333,30267.2683654,15464.9350321
2014,4,99,45858.9321881,39009.1377122,8833.95782958
2014,5,99,31753.6823363,37017.9343353,16169.4337177
2014,6,99,15765.9004281,25896.3509191,11094.0175857
2014,7,99,18176.3958375,20530.0646154,4281.28537353
2014,8,99,30724.3483495,41573.5698557,10849.2215062
2014,9,99,22620.88816,48898.5738276,26277.6856676
2014,10,99,32784.6777951,48737.9974435,25157.5658544
2014,11,99,30278.4421036,45802.1150254,27458.6832131
2014,12,99,25204.2834446,40880.8770241,15676.5935795
2015,1,99,33572.0803668,49788.9681444,22437.0764597
2015,2,99,55707.3026014,79160.6566799,26144.3540785
2015,3,99,21497.3662746,66836.3647002,41016.1816107
2015,4,99,31963.837368,42399.2422592,7342.51796367
2015,5,99,23949.1451141,32316.3204985,8367.17538442
2015,6,99,47942.8863631,56641.9587303,16038.9196335
2015,7,99,28511.9701249,74263.507739,48442.537614
2015,8,99,14802.3333333,68619.095078,53816.7617447
2015,9,99,28817.6328773,77816.8857024,59257.435769
2015,10,99,14802.3333333,56425.4638846,30652.1801094
2015,11,99,14802.3333333,30610.0633469,15807.7300136
2015,12,99,18563.7626973,24937.2328588,6373.47016148
2016,1,99,16214.611042,29535.716423,13321.105381
2016,2,99,30377.8817755,41596.6752786,22315.7145247
2016,3,99,45344.5393133,79782.4752565,37128.9359432
2016,4,99,14802.3333333,73239.3288214,49186.2948543
2016,5,99,23658.5162316,50495.694374,33635.9135788
2016,6,99,22915.1900155,42349.4519805,21442.4147604
2016,7,99,20391.9780466,37549.4730736,17861.0148128
2016,8,99,30997.865026,39854.7575056,19622.463963
2016,9,99,28341.597373,35359.6739464,18487.5675434
2016,10,99,23220.4556114,38831.4775319,15611.0219206
2016,11,99,22351.0008269,23484.0080366,7474.25680085
2016,12,99,27288.7865284,25022.1760773,9690.40986938
2017,1,99,40558.7828659,41056.2185793,11858.7471889
2017,2,99,0.0,25835.8194388,23144.8194388
2014,1,100,17810.2317962,24954.8678634,8413.33333333
2014,2,100,15039.2734132,20806.7859596,5767.51254642
2014,3,100,15418.6485797,21886.0794022,9048.34214198
2014,4,100,10282.3333333,26986.5567121,16704.2233788
2014,5,100,19504.924979,40514.9168736,21009.9918946
2014,6,100,18381.9918024,42328.435627,23946.4438247
2014,7,100,10282.3333333,29121.9637114,5881.45541644
2014,8,100,28532.3236317,27219.2483242,5637.65643423
2014,9,100,13698.1935995,27768.9225466,14070.7289471
2014,10,100,21700.0013327,27905.6906491,10905.6283036
2014,11,100,27154.2656027,36613.1580981,11974.8477774
2014,12,100,18720.0820355,25998.2701234,9024.40328675
2015,1,100,31699.9928581,36745.1095878,15014.5777669
2015,2,100,10282.3333333,26254.9909212,15972.6575879
2015,3,100,37234.9135281,42363.5597032,11321.0311435
2015,4,100,14290.4113566,46657.3541077,32366.9427512
2015,5,100,33495.2603295,57927.1274901,34918.7798313
2015,6,100,23389.4571617,56289.3770758,40277.6263651
2015,7,100,29051.0909368,70608.7327863,41557.6418496
2015,8,100,16298.3413117,55775.2397403,45435.4741073
2015,9,100,45101.6903477,73474.4775524,30241.7872047
2015,10,100,10282.3333333,65332.5959635,22154.3375464
2015,11,100,15565.0761839,32526.6479756,16961.5717917
2015,12,100,15041.5273507,35028.6852492,19987.1578984
2016,1,100,10282.3333333,25139.7014771,14857.3681437
2016,2,100,18162.5948276,31203.8464066,16938.7753843
2016,3,100,10282.3333333,34266.816783,23984.4834497
2016,4,100,13166.1122043,30659.1462871,20376.8129538
2016,5,100,15276.9339595,22530.4888716,12248.1555382
2016,6,100,34096.1431393,42604.1772453,20363.7599896
2016,7,100,36607.9481588,56902.9988374,33937.6603154
2016,8,100,18717.8802396,53957.9459762,23419.6721134
2016,9,100,10282.3333333,29203.7233524,18819.9570281
2016,10,100,10282.3333333,25059.6623065,9379.99140786
2016,11,100,14096.0134628,13822.2844474,1633.32030757
2016,12,100,21249.6687028,26341.8415444,5092.17284165
2017,1,100,17930.9131187,34326.51936,18314.8105047
2017,2,100,12725.1173991,42863.8045885,30138.6871894
2014,1,33,18483.8851652,24085.8005597,9579.66666667
2014,2,33,18199.7990707,27085.5172342,15377.8505675
2014,3,33,29575.9059657,41383.2146468,20449.4533597
2014,4,33,19616.0962825,44417.1864067,30563.4812065
2014,5,33,32276.5788544,63830.2859183,35559.7746975
2014,6,33,18305.986418,63335.618035,51627.9513683
2014,7,33,26643.5408523,57002.0562315,29265.0409299
2014,8,33,18817.9855236,67693.3430157,48875.3574921
2014,9,33,11707.6666667,42367.448393,20454.1446754
2014,10,33,23670.5165325,40145.2469268,27539.0559592
2014,11,33,27782.699152,32817.4465026,17691.6939018
2014,12,33,30244.0769654,36289.0624089,15083.7458352
2015,1,33,28631.3528903,37499.1385891,16899.0703109
2015,2,33,36648.9436368,53777.6240876,27873.4187178
2015,3,33,36225.0111361,55930.6534308,34789.9658925
2015,4,33,11707.6666667,47589.3119823,24054.9691285
2015,5,33,28801.6306931,49544.0769496,23825.0547682
2015,6,33,30035.8589131,50241.9125427,36089.8179993
2015,7,33,12083.1040457,40862.846457,28779.7424113
2015,8,33,32439.6298491,56355.4284453,30338.3726714
2015,9,33,17090.5168827,46909.9079869,13523.931274
2015,10,33,11707.6666667,23648.4654145,11940.7987478
2015,11,33,32349.1476237,38649.2018999,12798.7968014
2015,12,33,19125.7068987,38122.6774337,24019.3829431
2016,1,33,22442.3150978,41426.1034323,29718.4367656
2016,2,33,25160.9226425,31963.9941755,15037.6795969
2016,3,33,17489.4528174,24937.8854417,10910.1382628
2016,4,33,23840.0389352,23742.3990084,7222.71372482
2016,5,33,20341.8759088,32317.2784839,17388.0279008
2016,6,33,16713.2534536,30169.2772036,13456.0237499
2016,7,33,21296.8752267,32387.3570617,13218.481835
2016,8,33,14888.6923028,31156.291425,16267.5991222
2016,9,33,13005.0425107,29058.0038837,16052.961373
2016,10,33,30972.1920303,37556.1103616,11066.7806541
2016,11,33,11707.6666667,31574.1961376,18135.9571461
2016,12,33,18313.8651002,35333.9745107,17020.1094105
2017,1,33,33352.7344347,39957.8641982,17013.1450911
2017,2,33,3590.12267157,35453.4139036,23515.0787463
2014,1,34,44866.8151226,68300.6229842,26072.5133617
2014,2,34,37402.4944419,69962.8797705,36174.5363229
2014,3,34,32591.3333333,63399.6418905,21215.7221499
2014,4,34,40619.9328036,55496.2072048,21396.2672487
2014,5,34,32591.3333333,58295.5292374,25704.1959041
2014,6,34,34108.7172022,58268.4902948,25677.1569614
2014,7,34,64465.71672,87668.2234875,34516.3550407
2014,8,34,45997.9135724,84245.4013125,51654.0679792
2014,9,34,32591.3333333,62223.1073723,29631.7740389
2014,10,34,66449.3003793,62943.4548586,15501.3573724
2014,11,34,36658.0252166,76621.437532,44030.1041987
2014,12,34,39555.0772462,76047.8992642,41861.8862912
2015,1,34,32591.3333333,67852.1063953,35260.773062
2015,2,34,52963.8863064,71276.0455019,26683.8803384
2015,3,34,56964.565814,88526.992079,55935.6587457
2015,4,34,49271.5365804,56748.2415295,19444.5044299
2015,5,34,40078.5826692,48934.8592483,12027.7216662
2015,6,34,34720.649161,34876.7380981,528.131573223
2015,7,34,35933.6569744,53771.0286135,21179.6952801
2015,8,34,74243.8665762,85422.5924062,23711.7492535
2015,9,34,32591.3333333,54308.8822931,21717.5489597
2015,10,34,48390.1899879,73791.3779295,36793.9464794
2015,11,34,45106.1609597,42521.575115,6394.58595439
2015,12,34,45713.9510531,62239.6511574,20123.6684308
2016,1,34,38895.2530931,68543.5709172,26446.6781186
2016,2,34,39101.0086552,50406.0489497,17814.7156164
2016,3,34,67901.9158762,76907.0521458,18281.6557325
2016,4,34,34947.6247713,65742.2024372,30794.5776658
2016,5,34,42179.0668807,46755.4631608,14164.1298274
2016,6,34,43433.6154914,66512.7811329,33921.4477995
2016,7,34,36945.5289983,62427.6448726,25482.1158743
2016,8,34,51024.3959106,93018.9002044,41994.5042938
2016,9,34,37077.9238055,60682.3480691,27126.7279118
2016,10,34,53943.6138096,92734.715383,38791.1015734
2016,11,34,32591.3333333,62697.2372087,30105.9038754
2016,12,34,38713.3462398,65441.4778846,26728.1316448
2017,1,34,41943.2153674,51302.1352951,12868.5179533
2017,2,34,8479.11360552,36901.3545625,28422.240957
2014,1,35,20937.4753667,24335.7324334,6569.36
2014,2,35,18160.6665233,32946.3480551,18661.367217
2014,3,35,14581.9528819,32996.6513233,18578.175564
2014,4,35,7820.66666667,27366.2513233,10181.7695433
2014,5,35,24045.6383577,23849.4795104,2106.83535001
2014,6,35,11966.822012,22918.1614177,9021.68099309
2014,7,35,27568.0569267,33287.6124938,10614.3209071
2014,8,35,13463.6229577,28707.3475746,9791.26204132
2014,9,35,20038.0775748,28334.9656365,14855.401294
2014,10,35,27793.9060067,50069.3022955,23697.3962888
2014,11,35,17468.1479428,47239.027514,35660.2586584
2014,12,35,11513.5486961,37262.781781,29442.1151144
2015,1,35,27065.3652424,44091.3182687,30928.110229
2015,2,35,26469.3781116,59536.8130087,42310.1015637
2015,3,35,14874.6598802,56796.0955958,33392.5551657
2015,4,35,32414.5159048,54415.0529353,29400.7069879
2015,5,35,14138.4686832,51982.7721967,29004.4040625
2015,6,35,8330.70238042,27626.7063961,17228.1007872
2015,7,35,28575.8181283,32258.8354778,14145.2498363
2015,8,35,19221.0513648,36451.7167257,17230.6653609
2015,9,35,20459.8371681,46945.3349699,27907.4978019
2015,10,35,16258.0623551,40767.6045066,20391.4695677
2015,11,35,27799.2693075,43409.8119728,26404.3557233
2015,12,35,9830.2033059,40815.3754124,23809.3997073
2016,1,35,27913.4683268,35944.3547612,21667.4956933
2016,2,35,21206.8740952,40273.3248366,22222.4179278
2016,3,35,22974.779743,42119.0149117,25954.9879205
2016,4,35,8796.67704005,33446.1507517,22332.3624347
2016,5,35,10818.2395544,25991.4589143,18170.7922476
2016,6,35,23854.4874662,28129.9756984,13305.7787728
2016,7,35,16727.6223007,32163.3040204,24342.6373537
2016,8,35,7820.66666667,27323.4951694,19502.8285028
2016,9,35,29923.5287007,42115.4247254,23418.0110441
2016,10,35,18719.0789748,57059.9576756,38340.8787008
2016,11,35,13457.5657784,48623.7346393,36600.8681053
2016,12,35,11242.0217986,44878.8577712,24137.6448636
2017,1,35,22349.7132536,38096.2710489,18893.1549131
2017,2,35,0.0,33620.8775939,27828.1635067
2014,1,36,36340.9706159,36602.0083756,6995.5144868
2014,2,36,35178.8927354,41691.5365182,12666.0221009
2014,3,36,42481.8827639,48408.0877765,15624.4748598
2014,4,36,33390.268026,54381.2176758,25733.0311554
2014,5,36,45078.2785305,48471.1190032,16553.4378878
2014,6,36,53698.0041771,61546.3856087,34295.3422659
2014,7,36,29661.4171651,48421.8614187,20367.6488765
2014,8,36,27069.0,44741.1661552,17672.1661552
2014,9,36,54404.9053842,66764.2280648,20345.3595545
2014,10,36,61661.8799811,74161.3723127,23600.9254644
2014,11,36,40189.5896477,95652.8620318,55463.272384
2014,12,36,43881.2985788,80346.4143249,47738.5425724
2015,1,36,28705.5621326,89957.5507838,61251.9886512
2015,2,36,52577.2710318,83628.1981943,51608.9559659
2015,3,36,27069.0,62162.2581509,29431.8622181
2015,4,36,52476.1330932,78913.8129646,26437.6798714
2015,5,36,30989.1030827,76736.1242904,49667.1242904
2015,6,36,34486.251441,74198.0056867,47129.0056867
2015,7,36,27069.0,46152.6418199,19083.6418199
2015,8,36,32515.9568912,36334.2215536,3818.26466246
2015,9,36,27069.0,42169.3634869,15100.3634869
2015,10,36,42885.888038,57082.249406,18289.077196
2015,11,36,29185.8384484,35377.7983966,8308.79839655
2015,12,36,33294.1485781,40182.4616752,9574.20283782
2016,1,36,33324.0516736,49661.1522835,19712.9394568
2016,2,36,34888.0161443,39108.3283881,4220.3122437
2016,3,36,48060.8840287,54337.0400368,17489.7428844
2016,4,36,35250.1318039,69302.73389,34052.6020861
2016,5,36,33953.1758187,61778.6030232,34709.6030232
2016,6,36,30691.8694085,55585.7942967,28516.7942967
2016,7,36,44270.7873205,88453.1583268,44182.3710063
2016,8,36,37911.1616034,69796.1566611,42727.1566611
2016,9,36,37996.0105069,65569.4521206,27870.2031965
2016,10,36,75222.0866126,82969.1990039,14354.3380675
2016,11,36,29153.7598115,90291.358964,61137.5991525
2016,12,36,27069.0,72868.3012825,28021.5322783
2017,1,36,28978.3009564,48479.6684049,12306.9750594
2017,2,36,0.0,21477.3377721,14569.5772395
2014,1,37,9019.66666667,14258.7172017,5239.050535
2014,2,37,16874.927846,20856.1460278,5655.00561425
2014,3,37,12433.2651364,24885.777115,12452.5119786
2014,4,37,19841.4707119,29845.4115761,12422.2059261
2014,5,37,16499.5909002,29866.0085809,20846.3419142
2014,6,37,9019.66666667,26897.8364993,17066.7706382
2014,7,37,25663.6931677,28492.8660108,14603.2028171
2014,8,37,12123.0991335,19621.3855776,10601.7189109
2014,9,37,9019.66666667,19940.6232066,10920.95654
2014,10,37,16914.5083134,24776.6890445,15757.0223779
