customerid,income,spend,balance,wsenti,impact,classid,probab,param1,param2,param3,param4
20,57001.4699799,24288.8624801,19826.1245575,0.0,0.0,1,0.2,0.0,0.0,0.0,0.0
21,55194.4503882,49149.8213879,62228.0174367,0.0,0.0,1,0.2,0.0,0.0,0.0,0.0
22,36459.4675941,51700.1882325,66809.4753382,0.0,0.0,1,0.2,0.0,0.0,0.0,0.0
23,30106.4428472,51771.0375621,44460.2637728,0.0,0.0,1,0.2,0.0,0.0,0.0,0.0
24,39247.9796555,31304.038104,26155.2739287,0.0,0.0,1,0.2,0.0,0.0,0.0,0.0
25,28793.3160235,11448.4248184,66838.6294694,0.0,0.0,1,0.2,0.0,0.0,0.0,0.0
26,24961.3333333,52652.422509,35819.1798511,0.0,0.0,1,0.2,0.0,0.0,0.0,0.0
27,33512.1635185,40348.685838,50805.473758,0.0,0.0,1,0.2,0.0,0.0,0.0,0.0
28,10567.1685499,45967.4023336,17227.8817908,-1.0,0.0,3,0.899999976158,0.0,0.0,1.0,0.0
29,13117.2275244,16006.6264559,51275.7682162,0.0,0.0,1,0.2,0.0,0.0,0.0,0.0
30,25439.8655516,34002.5597334,30843.6301801,0.0,0.0,1,0.2,0.0,0.0,0.0,0.0
31,29030.2372338,60970.6695289,36673.6556414,0.0,0.0,1,0.2,0.0,0.0,0.0,0.0
32,42947.2334282,84998.4256221,45115.565293,0.0,0.0,1,0.2,0.0,0.0,0.0,0.0
33,14614.8877243,14664.584169,35453.4139036,0.0,0.0,1,0.2,0.0,0.0,0.0,0.0
34,39101.0086552,65720.6673781,35089.1863667,0.0,0.0,1,0.2,0.0,0.0,0.0,0.0
35,26549.0695966,21699.2998249,33620.8775939,0.0,0.0,1,0.2,0.0,0.0,0.0,0.0
36,44511.0250761,66899.7512596,21477.3377721,0.0,-3.0,3,0.699999988079,0.0,0.0,1.0,0.0
37,15391.7562065,3360.93553172,31191.3850498,0.0,0.0,1,0.2,0.0,0.0,0.0,0.0
38,60434.0230175,57284.1698426,51466.7791942,0.0,0.0,1,0.2,0.0,0.0,0.0,0.0
39,27768.2102518,28192.4278074,43629.3680311,0.0,0.0,1,0.2,0.0,0.0,0.0,0.0
40,41721.695032,37096.4872046,36824.5828721,0.0,0.0,1,0.2,0.0,0.0,0.0,0.0
41,30626.6510924,19175.3110105,20361.0094842,0.0,0.0,1,0.2,0.0,0.0,0.0,0.0
42,10589.2109605,24676.8966148,42470.7978497,0.0,0.0,1,0.2,0.0,0.0,0.0,0.0
43,8423.68048704,24409.5342281,24717.4708503,0.0,0.0,1,0.2,0.0,0.0,0.0,0.0
44,30736.9580539,70423.0415731,46043.0679904,0.0,0.0,1,0.2,0.0,0.0,0.0,0.0
45,38166.9339018,78452.0404427,28411.3626714,-2.0,-2.0,2,0.949999988079,0.0,0.0,0.0,1.0
46,35526.8219024,32991.3547212,8278.95248122,0.0,0.0,1,0.2,0.0,0.0,0.0,0.0
47,69335.2610521,51375.8253538,1707.8914487,0.0,0.0,1,0.2,0.0,0.0,0.0,0.0
48,39326.216609,47003.0998326,57529.2137767,0.0,0.0,1,0.2,0.0,0.0,0.0,0.0
49,29100.7900661,4328.30045889,43136.2525983,0.0,0.0,1,0.2,0.0,0.0,0.0,0.0
50,22758.0250064,25699.0914518,18017.935171,0.0,0.0,1,0.2,0.0,0.0,0.0,0.0
51,42041.3235115,65925.7001204,57804.1128161,0.0,0.0,1,0.2,0.0,0.0,0.0,0.0
53,42903.3512245,118996.422669,68941.3082787,0.0,0.0,3,0.699999988079,0.0,0.0,1.0,0.0
54,17858.635243,64471.0844498,12866.6785792,0.0,0.0,3,0.800000011921,0.0,0.0,1.0,0.0
55,32073.8503374,85593.5270231,12216.9533256,0.0,0.0,3,0.75,0.0,0.0,1.0,0.0
56,33554.3306738,50040.3334284,32514.0689617,0.0,0.0,1,0.2,0.0,0.0,0.0,0.0
57,31229.4226768,47553.4661302,37936.7398431,0.0,0.0,1,0.2,0.0,0.0,0.0,0.0
58,25980.8115467,66738.0319109,54749.2770477,0.0,0.0,1,0.2,0.0,0.0,0.0,0.0
59,43891.6207367,68478.0067074,71752.7793717,0.0,0.0,1,0.2,0.0,0.0,0.0,0.0
60,29684.6161193,49951.1392839,39224.1263706,0.0,0.0,1,0.2,0.0,0.0,0.0,0.0
61,23960.7472137,30189.6579756,30650.7103882,0.0,0.0,1,0.2,0.0,0.0,0.0,0.0
62,36209.7758979,30571.9976552,43068.98752,0.0,0.0,1,0.2,0.0,0.0,0.0,0.0
63,43528.0678356,60318.6055358,50187.2932582,0.0,0.0,1,0.2,0.0,0.0,0.0,0.0
64,38595.8994682,38777.4471659,73645.9477344,0.0,0.0,1,0.2,0.0,0.0,0.0,0.0
65,33890.816136,34742.0301742,35246.6353176,0.0,0.0,1,0.2,0.0,0.0,0.0,0.0
66,28097.8644084,40522.5526393,27749.8167316,0.0,0.0,1,0.2,0.0,0.0,0.0,0.0
67,37005.8847308,89098.2284442,31843.78524,0.0,0.0,3,0.800000011921,0.0,0.0,1.0,0.0
68,59033.0781141,28190.5095824,51951.0266854,0.0,0.0,1,0.2,0.0,0.0,0.0,0.0
69,47276.4640222,41625.4831597,49194.8092556,0.0,0.0,1,0.2,0.0,0.0,0.0,0.0
70,12617.4920867,45049.0948028,32981.1261102,0.0,0.0,1,0.2,0.0,0.0,0.0,0.0
71,32714.7352955,22602.8195645,54854.3124007,0.0,0.0,1,0.2,0.0,0.0,0.0,0.0
72,45470.4060179,61526.5302449,53883.9209651,0.0,0.0,1,0.2,0.0,0.0,0.0,0.0
73,39639.3051354,51114.4750284,40935.920667,0.0,0.0,1,0.2,0.0,0.0,0.0,0.0
74,20999.0373434,40842.8981142,7770.71401296,0.0,0.0,3,0.800000011921,0.0,0.0,1.0,0.0
75,21571.9005487,34662.1106274,37352.4162682,0.0,-4.0,3,0.25,0.0,0.0,1.0,0.0
