yeartime,monthtime,customerid,amount
2014,7,94,38890.8230478
2014,8,94,30319.2344124
2014,9,94,47147.1119387
2014,10,94,68252.8649229
2014,11,94,33252.4102175
2014,12,94,31440.0132425
2015,1,94,30782.6802869
2015,2,94,46810.6252967
2015,3,94,32704.737133
2015,4,94,38388.6232266
2015,5,94,34079.3458217
2015,6,94,40697.2435638
2015,7,94,33201.5257223
2015,8,94,29506.8312614
2015,9,94,26104.0222227
2015,10,94,42972.2407575
2015,11,94,87222.5599914
2015,12,94,46979.9316796
2016,1,94,32143.8585368
2016,2,94,19178.8609414
2016,3,94,62101.5975686
2016,4,94,35496.0819308
2016,5,94,28350.8291873
2016,6,94,49937.9176665
2016,7,94,29479.3807777
2016,8,94,49270.0170506
2016,9,94,34763.658749
2016,10,94,35398.5782634
2016,11,94,30650.709786
2016,12,94,54978.7458679
2017,1,94,43134.3530235
2017,2,94,29837.5259477
2014,1,95,30317.0516667
2014,2,95,37250.7127242
2014,3,95,52263.2310159
2014,4,95,46003.0205297
2014,5,95,46115.7261321
2014,6,95,61845.7974585
2014,7,95,43830.8547953
2014,8,95,55594.2564918
2014,9,95,45807.1019886
2014,10,95,40031.1513278
2014,11,95,63104.1269069
2014,12,95,49173.2700516
2015,1,95,66539.0969139
2015,2,95,74153.8678562
2015,3,95,33618.2809752
2015,4,95,47874.6935468
2015,5,95,75823.7418727
2015,6,95,55768.7566589
2015,7,95,54548.3485099
2015,8,95,52302.6539645
2015,9,95,44679.9819081
2015,10,95,46567.8028223
2015,11,95,47781.5109963
2015,12,95,47142.1619559
2016,1,95,57923.9886909
2016,2,95,38217.3873927
2016,3,95,62788.6984853
2016,4,95,36967.8071092
2016,5,95,57015.6399491
2016,6,95,63299.1597054
2016,7,95,69005.1783744
2016,8,95,60120.8455439
2016,9,95,31579.0455827
2016,10,95,44181.433382
2016,11,95,54136.0573605
2016,12,95,37046.921344
2017,1,95,51992.3415383
2017,2,95,27353.4084461
2014,1,96,24882.73584
2014,2,96,54012.6652573
2014,3,96,50483.0736453
2014,4,96,52486.9011287
2014,5,96,55417.2653672
2014,6,96,90608.8566874
2014,7,96,75521.7677251
2014,8,96,108524.83009
2014,9,96,33040.0051825
2014,10,96,114432.14353
2014,11,96,70923.9848977
2014,12,96,67581.3187274
2015,1,96,47636.4245305
2015,2,96,80509.2560863
2015,3,96,56129.0067641
2015,4,96,38549.8437511
2015,5,96,80962.1752915
2015,6,96,75330.1073532
2015,7,96,78016.9003692
2015,8,96,81947.939574
2015,9,96,43919.52
2015,10,96,79253.3549663
2015,11,96,119163.365042
2015,12,96,34437.621593
2016,1,96,77820.002028
2016,2,96,41414.898725
2016,3,96,71945.8557659
2016,4,96,52532.3892813
2016,5,96,90301.6654818
2016,6,96,71756.9804516
2016,7,96,40579.8987511
2016,8,96,49554.7110854
2016,9,96,80644.10102
2016,10,96,100711.013133
2016,11,96,74609.4377178
2016,12,96,25641.1007437
2017,1,96,117944.873319
2017,2,96,33091.527088
2014,1,97,14434.8
2014,2,97,42508.7421108
2014,3,97,41123.4220132
2014,4,97,62863.2859781
2014,5,97,69142.6324539
2014,6,97,45319.9192635
2014,7,97,49495.3987038
2014,8,97,42499.6976832
2014,9,97,44722.5170573
2014,10,97,86697.0324313
2014,11,97,51186.4994882
2014,12,97,54608.7273898
2015,1,97,51118.9439612
2015,2,97,34426.9689684
2015,3,97,42781.9017722
2015,4,97,70074.1865186
2015,5,97,67411.6902537
2015,6,97,65405.3755087
2015,7,97,44450.09758
2015,8,97,56226.649894
2015,9,97,65449.2755417
2015,10,97,66341.1733056
2015,11,97,33550.2399719
2015,12,97,26382.7227068
2016,1,97,56170.6660038
2016,2,97,82406.7707405
2016,3,97,70380.5782768
2016,4,97,31926.1239717
2016,5,97,42481.6904838
2016,6,97,48466.4803746
2016,7,97,49459.2888468
2016,8,97,49632.8769119
2016,9,97,66532.2644928
2016,10,97,57879.2532683
2016,11,97,51884.2600237
2016,12,97,43180.4379718
2017,1,97,35292.5558375
2017,2,97,19188.7782144
2014,1,98,37086.3072376
2014,2,98,61213.4167229
2014,3,98,71076.5088951
2014,4,98,63453.7147209
2014,5,98,70289.0149976
2014,6,98,79960.0771874
2014,7,98,59758.6863354
2014,8,98,92790.8263904
2014,9,98,58020.9477988
2014,10,98,78062.7983033
2014,11,98,51643.6254201
2014,12,98,64705.4109023
2015,1,98,63684.4212102
2015,2,98,26501.8534824
2015,3,98,70166.3048342
2015,4,98,52743.2778994
2015,5,98,78866.3745039
2015,6,98,59001.8722362
2015,7,98,58092.7037051
2015,8,98,111326.91517
2015,9,98,54531.3461255
2015,10,98,72719.5250778
2015,11,98,91574.1888182
2015,12,98,42104.9841766
2016,1,98,81193.6646873
2016,2,98,46225.65218
2016,3,98,72992.7176114
2016,4,98,39588.988048
2016,5,98,79573.8376842
2016,6,98,65508.931219
2016,7,98,82637.7685162
2016,8,98,59864.6167635
2016,9,98,75215.9177912
2016,10,98,56026.7708149
2016,11,98,119377.002266
2016,12,98,66918.5327311
2017,1,98,98326.2197314
2017,2,98,43842.9086194
2014,1,99,24366.6677824
2014,2,99,32667.6709799
2014,3,99,18455.3079127
2014,4,99,53606.6168601
2014,5,99,47248.0529975
2014,6,99,40401.5791822
2014,7,99,30703.6421411
2014,8,99,18606.0431092
2014,9,99,27379.7015709
2014,10,99,44115.5567965
2014,11,99,52842.9958136
2014,12,99,38582.7193904
2015,1,99,36396.1259232
2015,2,99,49386.5063783
2015,3,99,41298.5295085
2015,4,99,75235.9800834
2015,5,99,37423.8775201
2015,6,99,30782.2081313
2015,7,99,21748.9937793
2015,8,99,36540.8139943
2015,9,99,26811.8022529
2015,10,99,71003.9780013
2015,11,99,38300.9434291
2015,12,99,31403.5531855
2016,1,99,20558.3274778
2016,2,99,25536.8829199
2016,3,99,14022.6593354
2016,4,99,55311.2158794
2016,5,99,40534.5186869
2016,6,99,38216.3924091
2016,7,99,34118.1569535
2016,8,99,39061.0500986
2016,9,99,37306.0473449
2016,10,99,40236.1989735
2016,11,99,49332.3918492
2016,12,99,34973.0999287
2017,1,99,42981.683696
2017,2,99,21479.8791404
2014,1,100,13942.6052662
2014,2,100,24142.715317
2014,3,100,20314.9151371
2014,4,100,10177.2160234
2014,5,100,16987.5699075
2014,6,100,31035.7201744
2014,7,100,38780.2387667
2014,8,100,31585.4855834
2014,9,100,19833.6890198
2014,10,100,34206.7659142
2014,11,100,40146.5951815
2014,12,100,19670.066771
2015,1,100,33110.7242153
2015,2,100,28935.364994
2015,3,100,26928.2647461
2015,4,100,16596.6417712
2015,5,100,32583.7024596
2015,6,100,35790.9849533
2015,7,100,30455.7740754
2015,8,100,27476.0804343
2015,9,100,34526.4416292
2015,10,100,63742.2584172
2015,11,100,23905.511088
2015,12,100,17660.3169748
2016,1,100,28001.8408728
2016,2,100,17075.8098981
2016,3,100,11975.0829569
2016,4,100,29181.6995776
2016,5,100,29421.1513751
2016,6,100,23256.7804098
2016,7,100,39914.9263341
2016,8,100,35503.6338627
2016,9,100,19908.4084187
2016,10,100,35509.385862
2016,11,100,31813.6494423
2016,12,100,13924.1116057
2017,1,100,15985.7953031
2017,2,100,15127.6809048
2013,12,34,5.0
2014,1,34,24860.2054717
2014,2,34,51404.9176557
2014,3,34,82951.375081
2014,4,34,72909.5792824
2014,5,34,46556.9115917
2014,6,34,53736.4966527
2014,7,34,50768.6635273
2014,8,34,87187.1683273
2014,9,34,83275.5890923
2014,10,34,106773.453375
2014,11,34,46990.9122916
2014,12,34,55811.2955141
2015,1,34,64649.3579057
2015,2,34,68594.1659578
2015,3,34,61269.6792369
2015,4,34,109637.40313
2015,5,34,94748.7707104
2015,6,34,77610.6233112
2015,7,34,32720.0464591
2015,8,34,62163.9027835
2015,9,34,90967.4764203
2015,10,34,61802.4001978
2015,11,34,91916.8890093
2015,12,34,41687.5550107
2016,1,34,70484.3986162
2016,2,34,63448.6511575
2016,3,34,81753.439539
2016,4,34,62439.97448
2016,5,34,80085.5861571
2016,6,34,39412.9775193
2016,7,34,60635.2652586
2016,8,34,59858.1880739
2016,9,34,72110.5099122
2016,10,34,61026.4464957
2016,11,34,78293.4915076
2016,12,34,61426.4124677
2017,1,34,65897.531053
2017,2,34,36682.7343381
2014,1,35,11352.6548163
2014,2,35,10228.0056853
2014,3,35,29349.6394816
2014,4,35,27726.51978
2014,5,35,23315.7997148
2014,6,35,25762.0590583
2014,7,35,12738.8868969
2014,8,35,33542.8786892
2014,9,35,18746.5969373
2014,10,35,14582.1693477
2014,11,35,30735.4513464
2014,12,35,21529.2922401
2015,1,35,24225.8287547
2015,2,35,15930.3386563
2015,3,35,32414.9957394
2015,4,35,33473.8845785
2015,5,35,36651.0797846
2015,6,35,25330.2093146
2015,7,35,25164.3501044
2015,8,35,26289.6384462
2015,9,35,15631.7125838
2015,10,35,35251.8654022
2015,11,35,25587.5892575
2015,12,35,28578.5555421
2016,1,35,29418.9248403
2016,2,35,25615.2560198
2016,3,35,24734.2896679
2016,4,35,29914.817917
2016,5,35,23591.0212318
2016,6,35,25496.5706821
2016,7,35,17440.2939787
2016,8,35,16484.0755176
2016,9,35,20486.7707321
2016,10,35,13811.2643782
2016,11,35,25698.3888148
2016,12,35,31897.4449075
2017,1,35,26126.9535234
2017,2,35,12170.9075422
2013,12,36,12465.6
2014,1,36,39835.0822404
2014,2,36,43136.4845928
2014,3,36,57234.9644222
2014,4,36,34758.64521
2014,5,36,64568.8772031
2014,6,36,56539.8009144
2014,7,36,55667.0180123
2014,8,36,56900.3004685
2014,9,36,67242.0128955
2014,10,36,83499.2557332
2014,11,36,35018.4999287
2014,12,36,72711.3565504
2015,1,36,32197.435409
2015,2,36,83649.6913685
2015,3,36,57676.028229
2015,4,36,43111.3023467
2015,5,36,62887.9911121
2015,6,36,52735.8731275
2015,7,36,76913.4858126
2015,8,36,49871.7752117
2015,9,36,34270.9780667
2015,10,36,70354.190513
2015,11,36,82541.0801705
2015,12,36,51150.4522517
2016,1,36,40207.7610653
2016,2,36,59710.8522662
2016,3,36,45319.9123799
2016,4,36,40324.2996549
2016,5,36,57334.3266856
2016,6,36,60149.7889223
2016,7,36,27665.8232904
2016,8,36,70791.9934632
2016,9,36,65918.0839715
2016,10,36,79759.8908051
2016,11,36,34871.7198514
2016,12,36,83572.999632
2017,1,36,60420.8781753
2017,2,36,31304.95782
2013,12,37,9.0
2014,1,37,8182.73613167
2014,2,37,18434.2266199
2014,3,37,13715.6540492
2014,4,37,19289.9562508
2014,5,37,21038.4938954
2014,6,37,22896.351977
2014,7,37,31387.4570432
2014,8,37,22781.9069853
2014,9,37,15919.2362865
2014,10,37,20882.0833618
2014,11,37,19835.6970817
2014,12,37,14816.4516452
2015,1,37,23484.6840866
2015,2,37,20703.0291766
2015,3,37,39441.0326896
2015,4,37,34609.8631178
2015,5,37,37181.8174527
2015,6,37,24539.4922381
2015,7,37,30051.4529288
2015,8,37,31849.8414053
2015,9,37,12377.7799012
2015,10,37,31684.7910671
2015,11,37,30462.1038849
2015,12,37,19738.7376715
2016,1,37,19881.0433255
2016,2,37,18190.9219982
2016,3,37,30387.996462
2016,4,37,25483.4022185
2016,5,37,22861.3462421
2016,6,37,37771.8008065
2016,7,37,23094.7916397
2016,8,37,61256.2201363
2016,9,37,24329.2490976
2016,10,37,48789.0385016
2016,11,37,44626.3147515
2016,12,37,21593.4542709
2017,1,37,14133.4638143
2017,2,37,11867.6240099
2014,1,38,40919.7917747
2014,2,38,39742.1307464
2014,3,38,50718.9549794
2014,4,38,53382.1549733
2014,5,38,69428.9405771
2014,6,38,55500.197196
2014,7,38,41552.5345103
2014,8,38,76609.2234056
2014,9,38,78866.0930089
2014,10,38,50172.2822489
2014,11,38,51390.3721132
2014,12,38,59267.6672441
2015,1,38,62798.4050254
2015,2,38,45516.0798816
2015,3,38,65288.062995
2015,4,38,53671.5744392
2015,5,38,41463.6742842
2015,6,38,66602.7290021
2015,7,38,81846.8926594
2015,8,38,73110.8355946
2015,9,38,68874.4928713
2015,10,38,55998.8292226
2015,11,38,58218.999943
2015,12,38,27563.8705562
2016,1,38,55705.0995886
2016,2,38,27518.3522105
2016,3,38,60893.7129029
2016,4,38,63092.0868024
2016,5,38,110969.119994
2016,6,38,70710.5143628
2016,7,38,63144.720262
2016,8,38,66954.08578
2016,9,38,47638.9887718
2016,10,38,86113.663588
2016,11,38,59460.9880342
2016,12,38,65941.4218779
2017,1,38,78659.3066141
2017,2,38,29611.9566512
2014,1,39,19807.3887682
2014,2,39,28013.0251716
2014,3,39,15972.7198
2014,4,39,33761.4776881
2014,5,39,51565.1093352
2014,6,39,30426.5668049
2014,7,39,24865.3805731
2014,8,39,18729.4708217
2014,9,39,51508.2840554
2014,10,39,56652.0388721
2014,11,39,19289.7116679
2014,12,39,58743.3353283
2015,1,39,54364.1903898
2015,2,39,31766.974339
2015,3,39,65631.4019593
2015,4,39,56353.5512291
2015,5,39,41536.1363799
2015,6,39,37637.2365727
2015,7,39,22081.0437855
2015,8,39,36492.9097877
2015,9,39,36313.6469078
2015,10,39,30190.4616158
2015,11,39,39188.4283676
2015,12,39,56212.1468728
2016,1,39,48894.6316555
2016,2,39,30669.5867056
2016,3,39,51941.2670242
2016,4,39,34381.1745715
2016,5,39,34162.8961093
2016,6,39,39718.1596474
2016,7,39,30239.6133762
2016,8,39,41509.6141647
2016,9,39,36747.1983403
2016,10,39,53145.7463448
2016,11,39,30223.3798235
2016,12,39,51716.6076225
2017,1,39,45355.3490842
2017,2,39,16440.810362
2013,12,40,30856.31
2014,1,40,34257.793868
2014,2,40,50402.3851798
2014,3,40,78524.0840629
2014,4,40,81065.6962937
2014,5,40,47623.8509448
2014,6,40,40484.8534832
2014,7,40,47947.6044753
2014,8,40,50484.4092595
2014,9,40,101907.096544
2014,10,40,68858.7441349
2014,11,40,55290.9703243
2014,12,40,65804.5910418
2015,1,40,72799.3808879
2015,2,40,32735.2337428
2015,3,40,61274.2755544
2015,4,40,56454.8870611
2015,5,40,68643.4134994
2015,6,40,47424.7113828
2015,7,40,53827.663298
2015,8,40,49554.6208106
2015,9,40,92352.9709055
2015,10,40,44283.5775408
2015,11,40,121147.208175
2015,12,40,85093.6151204
2016,1,40,101448.847732
2016,2,40,72476.9779263
2016,3,40,64200.3750772
2016,4,40,83403.5516639
2016,5,40,54967.7856581
2016,6,40,55229.5911815
2016,7,40,76011.8715261
2016,8,40,64198.7404998
2016,9,40,68940.6784824
2016,10,40,73575.4230984
2016,11,40,71722.1499677
2016,12,40,44868.809405
2017,1,40,82722.4612198
2017,2,40,39297.2440304
2014,1,41,10357.2382024
2014,2,41,9781.42844151
2014,3,41,11348.66985
2014,4,41,23753.5884206
2014,5,41,43860.4736164
2014,6,41,28999.3250658
2014,7,41,23945.3096334
2014,8,41,24454.6605345
2014,9,41,22758.3118152
2014,10,41,17231.8615763
2014,11,41,13678.5412634
2014,12,41,18738.1770541
2015,1,41,27980.1530594
2015,2,41,23620.8807242
2015,3,41,31968.6923591
2015,4,41,36969.8938885
2015,5,41,19305.0938598
2015,6,41,20773.8639274
2015,7,41,17517.3339996
2015,8,41,16284.6112848
2015,9,41,34856.9022595
2015,10,41,44026.1647673
2015,11,41,31671.4652526
2015,12,41,21579.6473254
2016,1,41,14341.0548746
2016,2,41,9823.98679783
2016,3,41,30148.0811585
2016,4,41,31341.3922229
2016,5,41,23480.2046653
2016,6,41,18717.7668475
2016,7,41,25924.160726
2016,8,41,38738.306978
2016,9,41,39712.4998426
2016,10,41,27241.8072613
2016,11,41,15396.0192224
2016,12,41,12289.0774992
2017,1,41,20652.5851647
2017,2,41,24744.4096962
2013,12,42,16.0
2014,1,42,8901.83114477
2014,2,42,11866.2746261
2014,3,42,13033.09729
2014,4,42,22265.2675185
2014,5,42,30317.0991094
2014,6,42,33250.1489354
2014,7,42,35908.4255747
2014,8,42,29850.9889726
2014,9,42,40989.6009097
2014,10,42,32160.0291698
2014,11,42,26461.2620367
2014,12,42,43852.0106653
2015,1,42,17578.9393554
2015,2,42,35305.3345694
2015,3,42,16592.6317134
2015,4,42,37965.0883853
2015,5,42,20907.8375508
2015,6,42,35465.3329281
2015,7,42,35387.6191066
2015,8,42,33502.6139009
2015,9,42,13913.164591
2015,10,42,35639.7481964
2015,11,42,36881.9497464
2015,12,42,21802.5209024
2016,1,42,16252.2233745
2016,2,42,26079.3779066
2016,3,42,11722.610948
2016,4,42,13375.4037135
2016,5,42,28829.3576641
2016,6,42,21901.3260215
2016,7,42,22419.8589406
2016,8,42,38132.5190851
2016,9,42,25079.7653703
2016,10,42,29283.7611148
2016,11,42,16800.8863776
2016,12,42,26994.1383614
2017,1,42,31061.0487372
2017,2,42,15454.0401332
2014,1,43,6276.89433152
2014,2,43,15197.7983856
2014,3,43,19271.6555492
2014,4,43,12964.1880301
2014,5,43,21343.1265853
2014,6,43,28988.7698608
2014,7,43,28431.1182055
2014,8,43,18857.9779647
2014,9,43,30362.8883069
2014,10,43,29462.5397685
2014,11,43,47739.3126374
2014,12,43,23060.8976232
2015,1,43,24997.1145793
2015,2,43,23453.8248796
2015,3,43,44782.0180661
2015,4,43,28094.7751504
2015,5,43,9580.07724044
2015,6,43,23428.7398807
2015,7,43,11523.0253543
2015,8,43,32426.4523382
2015,9,43,41370.5354101
2015,10,43,42259.9234388
2015,11,43,16219.9144645
2015,12,43,23003.3440825
2016,1,43,26064.2972602
2016,2,43,27655.9987447
2016,3,43,15576.1576783
2016,4,43,21757.4932152
2016,5,43,24578.1732525
2016,6,43,25860.0108392
2016,7,43,16068.387759
2016,8,43,13196.0617778
2016,9,43,33310.4406016
2016,10,43,30453.9971369
2016,11,43,29568.483273
2016,12,43,24187.1235977
2017,1,43,16613.5785634
2017,2,43,9352.246262
2014,1,44,16072.4005786
2014,2,44,21580.080403
2014,3,44,45240.1655005
2014,4,44,43923.0946424
2014,5,44,34857.3447909
2014,6,44,44903.7845315
2014,7,44,24074.6667866
2014,8,44,39170.8512867
2014,9,44,14397.4640283
2014,10,44,58509.4504419
2014,11,44,59901.6062608
2014,12,44,69174.4764399
2015,1,44,25546.7279187
2015,2,44,31968.7525421
2015,3,44,25309.2845538
2015,4,44,38889.1300171
2015,5,44,48397.5733116
2015,6,44,33251.1823048
2015,7,44,35712.4373772
2015,8,44,18769.0661888
2015,9,44,48141.3805967
2015,10,44,34461.8901477
2015,11,44,56534.912911
2015,12,44,47210.9029584
2016,1,44,46043.1989468
2016,2,44,70423.0415731
2016,3,44,31293.3180773
2016,4,44,41831.2996355
2016,5,44,36319.3522729
2016,6,44,39083.5085017
2016,7,44,40748.0982418
2016,8,44,45799.1629174
2016,9,44,42004.9994044
2016,10,44,42724.4956164
2016,11,44,43625.5105143
2016,12,44,53164.3475302
2017,1,44,54717.6296494
2017,2,44,20835.4397066
2014,1,45,36772.005104
2014,2,45,43182.9089651
2014,3,45,50797.4788123
2014,4,45,62381.4953569
2014,5,45,31336.0150918
2014,6,45,19569.6140859
2014,7,45,65841.92
2014,8,45,50956.3000286
2014,9,45,43640.4711664
2014,10,45,46867.9274731
2014,11,45,49990.0099156
2014,12,45,51209.0271935
2015,1,45,54058.515449
2015,2,45,46493.6893185
2015,3,45,39148.8375471
2015,4,45,76995.9890621
2015,5,45,81112.148221
2015,6,45,40674.822142
2015,7,45,33781.7514622
2015,8,45,48394.7772304
2015,9,45,41613.5755274
2015,10,45,57880.6700187
2015,11,45,69782.1443636
2015,12,45,54059.6139284
2016,1,45,38405.2907669
2016,2,45,51273.377916
2016,3,45,34412.8397808
2016,4,45,44998.7410289
2016,5,45,44951.5037354
2016,6,45,36365.3555836
2016,7,45,48053.1195885
2016,8,45,50522.4885038
2016,9,45,24086.72654
2016,10,45,101525.697891
2016,11,45,52997.0901639
2016,12,45,61794.0220402
2017,1,45,55220.3669516
2017,2,45,50450.6461759
2014,1,46,23005.1495089
2014,2,46,25961.887476
2014,3,46,54371.1577745
2014,4,46,44224.9790339
2014,5,46,40172.4427734
2014,6,46,59475.4545349
2014,7,46,49862.5690974
2014,8,46,22063.8818988
2014,9,46,45681.282267
2014,10,46,86571.9617785
2014,11,46,65293.2079362
2014,12,46,47140.9913824
2015,1,46,38723.0335053
2015,2,46,19848.5942667
2015,3,46,43057.9923944
2015,4,46,50631.8424506
2015,5,46,40845.5926299
2015,6,46,18929.0800894
2015,7,46,68524.3147997
2015,8,46,56895.9258097
2015,9,46,54021.9329735
2015,10,46,40787.8925935
2015,11,46,54577.737745
2015,12,46,40639.6418951
2016,1,46,60333.03611
2016,2,46,32991.3547212
2016,3,46,58109.8113771
2016,4,46,45990.2013151
2016,5,46,76137.8047239
2016,6,46,35028.3617582
2016,7,46,57444.801824
2016,8,46,48328.8905153
2016,9,46,30760.3294215
2016,10,46,58709.4262841
2016,11,46,52147.9829296
2016,12,46,83003.8393137
2017,1,46,25352.0513846
2017,2,46,52518.64
2014,1,47,76421.2971587
2014,2,47,37264.3780642
2014,3,47,80831.3560272
2014,4,47,66715.8020991
2014,5,47,51756.324194
2014,6,47,50893.7418608
2014,7,47,108564.001091
2014,8,47,85605.5197682
2014,9,47,81841.1912209
2014,10,47,72054.7729427
2014,11,47,65635.2086037
2014,12,47,72785.1818206
2015,1,47,76714.8200673
2015,2,47,38690.0329081
2015,3,47,56714.7740613
2015,4,47,89744.5508679
2015,5,47,99959.4680091
2015,6,47,63043.1608858
2015,7,47,39331.5994841
2015,8,47,76486.0996194
2015,9,47,67554.6804398
2015,10,47,80568.11714
2015,11,47,60782.3813657
2015,12,47,54391.1237196
2016,1,47,50860.6615373
2016,2,47,39428.9719544
2016,3,47,72978.1861116
2016,4,47,52309.3456663
2016,5,47,117956.677668
2016,6,47,82077.7660549
2016,7,47,72574.5217855
2016,8,47,122566.818715
2016,9,47,43433.4524869
2016,10,47,96057.1491296
2016,11,47,84040.8098079
2016,12,47,49208.6112777
2017,1,47,101131.876404
2017,2,47,48785.345249
2013,12,48,10.0
2014,1,48,38362.2359866
2014,2,48,57497.7208475
2014,3,48,83197.3369025
2014,4,48,36523.7721179
2014,5,48,25672.2115871
2014,6,48,95147.8043575
2014,7,48,50689.733222
2014,8,48,49372.2012294
2014,9,48,32007.5503914
2014,10,48,54095.46034
2014,11,48,39019.3721168
2014,12,48,53094.7821698
2015,1,48,52945.3505041
2015,2,48,58958.4242174
2015,3,48,36246.7545871
2015,4,48,54619.8267842
2015,5,48,36371.599233
2015,6,48,82254.1005136
2015,7,48,41134.3935119
2015,8,48,31244.2331164
2015,9,48,54222.9273512
2015,10,48,46537.4752624
2015,11,48,47742.9748431
2015,12,48,42239.5506928
2016,1,48,32661.7082639
2016,2,48,44995.1034072
2016,3,48,21868.0601813
2016,4,48,50272.7724797
2016,5,48,57324.1174281
2016,6,48,49280.8207186
2016,7,48,45571.8998541
2016,8,48,60285.6463289
2016,9,48,51680.1899237
2016,10,48,60260.2529753
2016,11,48,54510.7067128
2016,12,48,44852.5083926
2017,1,48,59655.48414
2017,2,48,32520.4115467
2014,1,49,9856.72206965
2014,2,49,7199.276911
2014,3,49,10933.8076891
2014,4,49,21123.8612185
2014,5,49,16082.1873923
2014,6,49,18229.2756908
2014,7,49,25999.8406649
2014,8,49,6039.47896944
2014,9,49,17968.5025876
2014,10,49,17549.4308889
2014,11,49,31256.4255046
2014,12,49,8603.19546414
2015,1,49,14364.0166889
2015,2,49,5047.17269056
2015,3,49,59932.8415557
2015,4,49,22360.1022834
2015,5,49,11937.3123786
2015,6,49,19068.1199608
2015,7,49,16907.270978
2015,8,49,22091.5644947
2015,9,49,11382.9205933
2015,10,49,14677.1962109
2015,11,49,13616.2840276
2015,12,49,9302.99453956
2016,1,49,8940.00986231
2016,2,49,7825.34568774
2016,3,49,8710.92734743
2016,4,49,22458.955221
2016,5,49,18466.691022
2016,6,49,20640.5108225
2016,7,49,12201.5295546
2016,8,49,23270.5280128
2016,9,49,22223.3582179
2016,10,49,23042.9185445
2016,11,49,21298.6853075
2016,12,49,4177.12005565
2017,1,49,35256.2934149
2017,2,49,3820.49010686
2014,1,50,10674.3805464
2014,2,50,29452.8769395
2014,3,50,19164.9552411
2014,4,50,27440.83298
2014,5,50,16472.1274093
2014,6,50,22555.2132407
2014,7,50,20543.2249152
2014,8,50,35373.4333932
2014,9,50,27701.3602921
2014,10,50,25020.9944226
2014,11,50,34052.1982098
2014,12,50,26502.1820351
2015,1,50,17848.960982
2015,2,50,27080.637144
2015,3,50,41235.0787645
2015,4,50,36071.5177785
2015,5,50,38074.2073562
2015,6,50,37409.0757058
2015,7,50,42582.032562
2015,8,50,28448.979336
2015,9,50,31670.2525405
2015,10,50,64995.5784818
2015,11,50,35120.5320745
2015,12,50,53785.2611138
2016,1,50,25730.4856886
2016,2,50,25259.7596843
2016,3,50,27840.7184864
2016,4,50,34635.8403724
2016,5,50,52859.5562627
2016,6,50,9770.85189666
2016,7,50,35302.0392757
2016,8,50,34134.7509992
2016,9,50,45177.8937989
2016,10,50,33173.4222092
2016,11,50,25189.9877894
2016,12,50,28576.7336153
2017,1,50,18897.0153556
2017,2,50,23908.585097
2014,1,51,23312.5825333
2014,2,51,34999.8154261
2014,3,51,55864.5103463
2014,4,51,66785.3476534
2014,5,51,76132.6796175
2014,6,51,39630.8308982
2014,7,51,54201.7549413
2014,8,51,83654.6106319
2014,9,51,37584.0454781
2014,10,51,58878.4667659
2014,11,51,91212.0402064
2014,12,51,55335.4784254
