id,ACCOUNTID,TRANSACTIONID,BALANCE,TRANSACTIONTYPEID,CLASSIFICATIONID,PASSID,comments,OClassificationid
260,9999999999,230,9824.986,2,None,None,None,None
261,470262,231,24479.0933333,1,None,None,None,None
262,9999999999,231,9834.226,2,None,None,None,None
263,305156,232,28156.12,1,None,None,None,None
264,9999999999,232,9846.106,2,None,None,None,None
265,371491,233,32581.2533333,1,None,None,None,None
266,9999999999,233,9856.186,2,None,None,None,None
267,125917,234,20836.2,1,None,None,None,None
268,9999999999,234,16088.986,2,None,None,None,None
269,308183,235,9013.99666667,1,None,None,None,None
270,9999999999,235,16094.656,2,None,None,None,None
271,918862,236,28013.3,1,None,None,None,None
272,9999999999,236,16097.356,2,None,None,None,None
273,712159,237,18803.7022,1,None,None,None,None
274,9999999999,237,27824.6538,2,None,None,None,None
275,150467,238,8365.33333333,1,None,None,None,None
276,9999999999,238,27840.6538,2,None,None,None,None
277,236879,239,18465.2904,1,None,None,None,None
278,9999999999,239,27844.0738,2,None,None,None,None
279,166202,240,21336.3333333,1,None,None,None,None
280,9999999999,240,27850.0738,2,None,None,None,None
281,943992,241,32601.84,1,None,None,None,None
282,9999999999,241,27861.6738,2,None,None,None,None
283,163625,242,14148.6266667,1,None,None,None,None
284,9999999999,242,27864.7138,2,None,None,None,None
285,826972,243,30512.2966667,1,None,None,None,None
286,9999999999,243,27873.0838,2,None,None,None,None
287,467280,244,26502.6066667,1,None,None,None,None
288,9999999999,244,27876.1438,2,None,None,None,None
289,518480,245,32558.0666667,1,None,None,None,None
290,9999999999,245,27883.7438,2,None,None,None,None
291,936429,246,12627.97,1,None,None,None,None
292,9999999999,246,27887.2938,2,None,None,None,None
293,203790,247,18430.2866667,1,None,None,None,None
294,9999999999,247,27888.9738,2,None,None,None,None
295,420727,248,23425.8288667,1,None,None,None,None
296,9999999999,248,30761.8116,2,None,None,None,None
297,471852,249,28386.54,1,None,None,None,None
298,9999999999,249,30762.2716,2,None,None,None,None
299,921658,250,11552.0933333,1,None,None,None,None
300,9999999999,250,30768.5116,2,None,None,None,None
301,587734,251,11580.2074667,1,None,None,None,None
302,9999999999,251,50249.9708,2,None,None,None,None
303,969725,252,25825.0733333,1,None,None,None,None
304,9999999999,252,50263.2308,2,None,None,None,None
305,708666,253,11607.55,1,None,None,None,None
306,9999999999,253,50266.6808,2,None,None,None,None
307,960256,254,17179.0533333,1,None,None,None,None
308,9999999999,254,50273.9608,2,None,None,None,None
309,749337,255,12471.6666667,1,None,None,None,None
310,9999999999,255,50288.9608,2,None,None,None,None
311,602125,256,23000.45,1,None,None,None,None
312,9999999999,256,50302.9108,2,None,None,None,None
313,908786,257,7530.45,1,None,None,None,None
314,9999999999,257,50306.2708,2,None,None,None,None
315,844747,258,12221.2866667,1,None,None,None,None
316,9999999999,258,50312.6508,2,None,None,None,None
317,697202,259,3484.43333333,1,None,None,None,None
318,627076,260,12616.83,1,None,None,None,None
319,587734,261,10306.3846453,1,None,None,None,None
320,828379,261,23814.1561547,2,None,None,None,None
321,125917,262,18752.58,1,None,None,None,None
322,275651,262,22978.02,2,None,None,None,None
323,783774,263,12715.7733333,1,None,None,None,None
324,345727,263,15712.6266667,2,None,None,None,None
325,471852,264,24128.559,1,None,None,None,None
326,236879,265,13664.314896,1,None,None,None,None
327,518480,265,37359.0421707,2,None,None,None,None
328,923660,266,6569.36,1,None,None,None,None
329,524070,266,22864.64,2,None,None,None,None
330,478877,267,6783.35333333,1,None,None,None,None
331,450148,267,8083.90333333,2,None,None,None,None
332,768282,268,17450.1333333,1,None,None,None,None
333,923660,268,10931.8933333,2,None,None,None,None
334,988304,269,25045.5333333,1,None,None,None,None
335,932991,269,30655.8,2,None,None,None,None
336,470262,270,21296.8112,1,None,None,None,None
337,936179,270,11011.6154667,2,None,None,None,None
338,184756,271,14255.64,1,None,None,None,None
339,708666,271,14322.91,2,None,None,None,None
340,627076,272,10598.1372,1,None,None,None,None
341,936179,272,13030.3082667,2,None,None,None,None
342,697202,273,3066.30133333,1,None,None,None,None
343,192134,273,33040.7986667,2,None,None,None,None
344,878538,274,3319.10666667,1,None,None,None,None
345,893766,274,19480.7933333,2,None,None,None,None
346,893766,275,16753.4822667,1,None,None,None,None
347,587734,275,13033.695712,2,None,None,None,None
348,125917,276,16689.7962,1,None,None,None,None
349,450148,276,10146.6871333,2,None,None,None,None
350,930344,277,6359.18333333,1,None,None,None,None
351,940970,277,14037.15,2,None,None,None,None
352,602125,278,18630.3645,1,None,None,None,None
353,962257,278,14201.4188333,2,None,None,None,None
354,345727,279,13198.6064,1,None,None,None,None
355,932991,279,33169.8202667,2,None,None,None,None
356,960256,280,14258.6142667,1,None,None,None,None
357,393851,280,19211.0724,2,None,None,None,None
358,308183,281,7661.89716667,1,None,None,None,None
359,783774,281,14067.8728333,2,None,None,None,None
360,125917,282,14186.32677,1,None,None,None,None
361,212335,282,22434.16943,2,None,None,None,None
362,880727,283,14003.8725333,1,None,None,None,None
363,450148,283,13220.7079333,2,None,None,None,None
364,663702,284,9193.74733333,1,None,None,None,None
365,524070,284,24487.066,2,None,None,None,None
366,969725,285,21176.5601333,1,None,None,None,None
367,988304,285,29694.0465333,2,None,None,None,None
368,943992,286,29341.656,1,None,None,None,None
369,674477,286,35127.8506667,2,None,None,None,None
370,988304,287,26130.7609493,1,None,None,None,None
371,918519,287,11841.9172507,2,None,None,None,None
372,954873,288,28253.4653333,1,None,None,None,None
373,306189,288,19050.7946667,2,None,None,None,None
374,826972,289,28376.4359,1,None,None,None,None
375,697202,289,5202.1621,2,None,None,None,None
376,420727,290,19911.9545367,1,None,None,None,None
377,587734,290,16547.570042,2,None,None,None,None
378,893766,291,10722.2286507,1,None,None,None,None
379,699610,291,24341.253616,2,None,None,None,None
380,125917,292,11916.5144868,1,None,None,None,None
381,918862,292,30283.1122832,2,None,None,None,None
382,697202,293,4421.837785,1,None,None,None,None
383,203790,293,19210.6109817,2,None,None,None,None
384,751890,294,20595.8,1,None,None,None,None
385,954873,294,31330.9986667,2,None,None,None,None
386,674477,295,29858.6730667,1,None,None,None,None
387,893318,295,15159.0242667,2,None,None,None,None
388,491731,296,20051.76,1,None,None,None,None
389,268381,296,8865.74,2,None,None,None,None
390,518505,297,30905.7166667,1,None,None,None,None
391,478877,297,8409.97,2,None,None,None,None
392,880727,298,11203.0980267,1,None,None,None,None
393,624005,298,28254.10784,2,None,None,None,None
394,275651,299,19990.8774,1,None,None,None,None
395,478877,299,11397.1126,2,None,None,None,None
396,962257,300,12497.2485733,1,None,None,None,None
397,672289,300,25703.5035933,2,None,None,None,None
398,699610,301,20446.6530374,1,None,None,None,None
399,524070,301,28381.6665786,2,None,None,None,None
400,936429,302,11744.0121,1,None,None,None,None
401,943992,302,30225.6139,2,None,None,None,None
402,908786,303,6024.36,1,None,None,None,None
403,420727,303,21418.0445367,2,None,None,None,None
404,752325,304,14150.22,1,None,None,None,None
405,967879,304,11873.6296,2,None,None,None,None
406,745558,305,15693.06,1,None,None,None,None
407,470262,305,23641.7512,2,None,None,None,None
408,763673,306,11819.41,1,None,None,None,None
409,752325,306,16074.31,2,None,None,None,None
410,554762,307,26088.6733333,1,None,None,None,None
411,988304,307,30377.7542827,2,None,None,None,None
412,627076,308,9114.397992,1,None,None,None,None
413,470262,308,25125.490408,2,None,None,None,None
414,163625,309,12450.7914667,1,None,None,None,None
415,936429,309,13441.8473,2,None,None,None,None
416,828379,310,16908.0508698,1,None,None,None,None
417,620127,310,28580.0952849,2,None,None,None,None
418,163625,311,10956.6964907,1,None,None,None,None
419,624005,311,29748.202816,2,None,None,None,None
420,518505,312,27197.0306667,1,None,None,None,None
421,918862,312,33991.7982832,2,None,None,None,None
422,470262,313,22361.6864631,1,None,None,None,None
423,930344,313,9122.98727821,2,None,None,None,None
424,413103,314,17322.3144,1,None,None,None,None
425,712159,314,22866.9611333,2,None,None,None,None
426,165101,315,21182.7833333,1,None,None,None,None
427,699610,315,21561.5363708,2,None,None,None,None
428,943992,316,26296.284093,1,None,None,None,None
429,165101,317,19064.505,1,None,None,None,None
430,518480,317,39477.320504,2,None,None,None,None
431,923660,318,9182.7904,1,None,None,None,None
432,768282,318,19199.2362667,2,None,None,None,None
433,275651,319,17392.063338,1,None,None,None,None
434,923660,319,11781.604462,2,None,None,None,None
435,781588,320,22525.37,1,None,None,None,None
436,699610,320,26175.1663708,2,None,None,None,None
437,697202,321,4068.0907622,1,None,None,None,None
438,602125,321,18984.1115228,2,None,None,None,None
439,880727,322,9522.63332267,1,None,None,None,None
440,918519,322,13522.3819547,2,None,None,None,None
441,674477,323,24782.6986453,1,None,None,None,None
442,305156,323,33232.0944213,2,None,None,None,None
443,988304,324,24605.980969,1,None,None,None,None
444,166202,324,27108.106647,2,None,None,None,None
445,891272,325,5381.33333333,1,None,None,None,None
446,8888888888,325,1196.0,2,None,None,None,None
447,567538,326,7669.03,1,None,None,None,None
448,8888888888,326,2901.0,2,None,None,None,None
449,500724,327,4086.43333333,1,None,None,None,None
450,8888888888,327,3809.0,2,None,None,None,None
451,914466,328,18653.6666667,1,None,None,None,None
452,8888888888,328,7953.0,2,None,None,None,None
453,783774,329,11345.8728333,1,None,None,None,None
454,8888888888,329,10675.0,2,None,None,None,None
455,663702,330,5682.74733333,1,None,None,None,None
456,8888888888,330,14186.0,2,None,None,None,None
457,636714,331,14780.6666667,1,None,None,None,None
458,8888888888,331,17470.0,2,None,None,None,None
459,878538,332,2640.10666667,1,None,None,None,None
460,8888888888,332,18149.0,2,None,None,None,None
461,450148,333,11826.7079333,1,None,None,None,None
462,8888888888,333,19543.0,2,None,None,None,None
463,839923,334,12446.6666667,1,None,None,None,None
464,8888888888,334,22308.0,2,None,None,None,None
465,891150,335,14903.324,1,None,None,None,None
466,8888888888,335,26564.0,2,None,None,None,None
467,620127,336,25003.0952849,1,None,None,None,None
468,8888888888,336,30141.0,2,None,None,None,None
469,212335,337,19402.16943,1,None,None,None,None
470,8888888888,337,33173.0,2,None,None,None,None
471,893318,338,13361.0242667,1,None,None,None,None
472,8888888888,338,34971.0,2,None,None,None,None
473,524070,339,24452.6665786,1,None,None,None,None
474,8888888888,339,38900.0,2,None,None,None,None
475,763673,340,10204.41,1,None,None,None,None
476,8888888888,340,40515.0,2,None,None,None,None
477,115528,341,11955.0666667,1,None,None,None,None
478,8888888888,341,43172.0,2,None,None,None,None
479,220113,342,14477.14,1,None,None,None,None
480,8888888888,342,46393.0,2,None,None,None,None
481,478877,343,10085.1126,1,None,None,None,None
482,8888888888,343,47705.0,2,None,None,None,None
483,554762,344,20573.6733333,1,None,None,None,None
484,8888888888,344,53220.0,2,None,None,None,None
485,871572,345,14096.8133333,1,None,None,None,None
486,8888888888,345,55970.0,2,None,None,None,None
487,672289,346,21340.5035933,1,None,None,None,None
488,8888888888,346,60333.0,2,None,None,None,None
489,768282,347,15234.2362667,1,None,None,None,None
490,8888888888,347,64298.0,2,None,None,None,None
491,393938,348,6260.6,1,None,None,None,None
492,8888888888,348,66139.0,2,None,None,None,None
493,345727,349,10749.6064,1,None,None,None,None
494,8888888888,349,68588.0,2,None,None,None,None
495,954873,350,26792.9986667,1,None,None,None,None
496,8888888888,350,73126.0,2,None,None,None,None
497,932991,351,27687.8202667,1,None,None,None,None
498,8888888888,351,78608.0,2,None,None,None,None
499,184756,352,11170.64,1,None,None,None,None
500,8888888888,352,81693.0,2,None,None,None,None
501,967879,353,10406.6296,1,None,None,None,None
502,8888888888,353,83160.0,2,None,None,None,None
503,393851,354,16247.0724,1,None,None,None,None
504,8888888888,354,86124.0,2,None,None,None,None
505,470262,355,17909.6864631,1,None,None,None,None
506,8888888888,355,90576.0,2,None,None,None,None
507,305156,356,28111.0944213,1,None,None,None,None
508,8888888888,356,95697.0,2,None,None,None,None
509,589197,357,9579.66666667,1,None,None,None,None
510,8888888888,357,97825.0,2,None,None,None,None
511,371491,358,26656.2533333,1,None,None,None,None
512,8888888888,358,103750.0,2,None,None,None,None
513,923660,359,10359.604462,1,None,None,None,None
514,8888888888,359,105172.0,2,None,None,None,None
515,125917,360,6995.5144868,1,None,None,None,None
516,8888888888,360,110093.0,2,None,None,None,None
517,308183,361,6021.89716667,1,None,None,None,None
518,8888888888,361,111733.0,2,None,None,None,None
519,918862,362,28898.7982832,1,None,None,None,None
520,8888888888,362,116826.0,2,None,None,None,None
521,880727,363,6583.63332267,1,None,None,None,None
522,8888888888,363,119765.0,2,None,None,None,None
523,712159,364,17316.9611333,1,None,None,None,None
524,8888888888,364,125315.0,2,None,None,None,None
525,918519,365,11992.3819547,1,None,None,None,None
526,8888888888,365,126845.0,2,None,None,None,None
527,150467,366,6841.33333333,1,None,None,None,None
528,8888888888,366,128369.0,2,None,None,None,None
529,936179,367,11607.3082667,1,None,None,None,None
530,8888888888,367,129792.0,2,None,None,None,None
531,699610,368,22846.1663708,1,None,None,None,None
532,8888888888,368,133121.0,2,None,None,None,None
533,236879,369,9173.314896,1,None,None,None,None
534,8888888888,369,137612.0,2,None,None,None,None
535,237738,370,18767.2016667,1,None,None,None,None
536,8888888888,370,141554.0,2,None,None,None,None
537,518505,371,21283.0306667,1,None,None,None,None
538,8888888888,371,147468.0,2,None,None,None,None
539,166202,372,23228.106647,1,None,None,None,None
540,8888888888,372,151348.0,2,None,None,None,None
541,697202,373,3331.0907622,1,None,None,None,None
542,8888888888,373,152085.0,2,None,None,None,None
543,873515,374,7367.77333333,1,None,None,None,None
544,8888888888,374,153924.0,2,None,None,None,None
545,491731,375,14988.76,1,None,None,None,None
546,8888888888,375,158987.0,2,None,None,None,None
547,306189,376,17395.7946667,1,None,None,None,None
548,8888888888,376,160642.0,2,None,None,None,None
549,943992,377,20861.284093,1,None,None,None,None
550,8888888888,377,166077.0,2,None,None,None,None
551,163625,378,8383.69649067,1,None,None,None,None
552,8888888888,378,168650.0,2,None,None,None,None
553,826972,379,22828.4359,1,None,None,None,None
554,8888888888,379,174198.0,2,None,None,None,None
555,941307,380,21373.91,1,None,None,None,None
556,8888888888,380,177878.0,2,None,None,None,None
557,467280,381,21683.6066667,1,None,None,None,None
558,8888888888,381,182697.0,2,None,None,None,None
559,624937,382,14761.6666667,1,None,None,None,None
560,8888888888,382,185977.0,2,None,None,None,None
561,518480,383,33557.320504,1,None,None,None,None
562,8888888888,383,191897.0,2,None,None,None,None
563,936429,384,10832.8473,1,None,None,None,None
564,8888888888,384,194506.0,2,None,None,None,None
565,828379,385,12810.0508698,1,None,None,None,None
566,8888888888,385,198604.0,2,None,None,None,None
567,203790,386,15268.6109817,1,None,None,None,None
568,8888888888,386,202546.0,2,None,None,None,None
569,165101,387,15010.505,1,None,None,None,None
570,8888888888,387,206600.0,2,None,None,None,None
571,420727,388,16637.0445367,1,None,None,None,None
572,8888888888,388,211381.0,2,None,None,None,None
573,745558,389,12414.06,1,None,None,None,None
574,8888888888,389,214660.0,2,None,None,None,None
575,781588,390,17591.37,1,None,None,None,None
576,8888888888,390,219594.0,2,None,None,None,None
577,531934,391,22690.3333333,1,None,None,None,None
578,8888888888,391,224635.0,2,None,None,None,None
579,471852,392,18967.559,1,None,None,None,None
580,8888888888,392,229796.0,2,None,None,None,None
581,413103,393,12984.3144,1,None,None,None,None
582,8888888888,393,234134.0,2,None,None,None,None
583,268381,394,8001.74,1,None,None,None,None
584,8888888888,394,234998.0,2,None,None,None,None
585,921658,395,9451.09333333,1,None,None,None,None
586,8888888888,395,237099.0,2,None,None,None,None
587,988304,396,19959.980969,1,None,None,None,None
588,8888888888,396,241745.0,2,None,None,None,None
589,587734,397,10900.570042,1,None,None,None,None
590,8888888888,397,247392.0,2,None,None,None,None
591,751890,398,16291.8,1,None,None,None,None
592,8888888888,398,251696.0,2,None,None,None,None
593,969725,399,16479.5601333,1,None,None,None,None
594,8888888888,399,256393.0,2,None,None,None,None
595,708666,400,12211.91,1,None,None,None,None
596,8888888888,400,258504.0,2,None,None,None,None
597,764406,401,22469.3333333,1,None,None,None,None
598,8888888888,401,263496.0,2,None,None,None,None
599,874008,402,23254.6666667,1,None,None,None,None
